package_volume_info,package_price,ussd_code_block,volume,price
60 مگابایت یک‌روزه,2450 تومان,*100*31#,60.0,2670.5
150 مگابایت یک‌روزه,5100 تومان,*100*31#,150.0,5559.0
250 مگابایت یک‌روزه,6820 تومان,*100*31#,250.0,7433.8
500 مگابایت یک‌روزه,9280 تومان,*100*31#,500.0,10115.2
750 مگابایت یک‌روزه,11180 تومان,*100*31#,750.0,12186.2
1 گیگابایت یک‌روزه,12130 تومان,*100*31#,1024.0,13221.7
2 گیگابایت یک‌روزه,15930 تومان,*100*31#,2048.0,17363.7
150 مگابایت سه‌روزه,6120 تومان,-,150.0,6670.8
250 مگابایت سه‌روزه,8340 تومان,-,250.0,9090.6
400 مگابایت سه‌روزه,10050 تومان,-,400.0,10954.5
750 مگابایت سه‌روزه,12700 تومان,-,750.0,13843.000000000002
1.5 گیگابایت سه‌روزه,17070 تومان,-,1536.0,18606.300000000003
200 مگابایت هفت‌روزه,8190 تومان,*100*32#,200.0,8927.1
300 مگابایت هفت‌روزه,10420 تومان,*100*32#,300.0,11357.800000000001
500 مگابایت هفت‌روزه,13270 تومان,*100*32#,500.0,14464.300000000001
750 مگابایت هفت‌روزه,15720 تومان,*100*32#,750.0,17134.800000000003
1.5 گیگابایت هفت‌روزه,20670 تومان,*100*32#,1536.0,22530.300000000003
2.5 گیگابایت هفت‌روزه,24660 تومان,*100*32#,2548.0,26879.4
4 گیگابایت هفت‌روزه,30340 تومان,*100*32#,4096.0,33070.600000000006
750 مگابایت پانزده‌روزه,17070 تومان,-,750.0,18606.300000000003
1.5 گیگابایت پانزده‌روزه,21810 تومان,-,1536.0,23772.9
2.5 گیگابایت پانزده‌روزه,27500 تومان,-,2548.0,29975.000000000004
3.5 گیگابایت پانزده‌روزه,31300 تومان,-,3584.0,34117.0
1 گیگابایت سی‌روزه,19910 تومان,*100*2#,1024.0,21701.9
2 گیگابایت سی‌روزه,26560 تومان,*100*2#,2048.0,28950.4
3 گیگابایت سی‌روزه,36040 تومان,*100*2#,3072.0,39283.600000000006
4 گیگابایت سی‌روزه,40400 تومان,*100*2#,4096.0,44036.0
5 گیگابایت سی‌روزه,44760 تومان,*100*2#,5120.0,48788.4
6 گیگابایت سی‌روزه,52390 تومان,*100*2#,6144.0,57105.100000000006
50 گیگابایت سی‌روزه,383500 تومان,-,51200.0,418015.00000000006
2 گیگابایت سی‌روزه (ویژه مشترکین جدید),16710 تومان,*100*6#,,18213.9
3 گیگابایت سی‌روزه (ویژه مشترکین جدید),19900 تومان,*100*6#,,21691.0
5 گیگابایت سی‌روزه (ویژه مشترکین جدید),24750 تومان,*100*6#,,26977.500000000004
7 گیگابایت سی‌روزه (ویژه مشترکین جدید),29580 تومان,*100*6#,,32242.2
12 گیگابایت سی‌روزه صبحانت: 6 صبح تا 12 ظهر,18970 تومان,*100*33#,,20677.300000000003
2 بامداد تا 7 صبح سی‌روزه نامحدود دارای سیاست مصرف منصفانه برای مصارف بالای 80 گیگابایت,37740 تومان,*100*352#,,41136.600000000006
45 گیگابایت سه‌ماهه,345800 تومان,-,46080.0,376922.0
60 گیگابایت سه‌ماهه,460500 تومان,-,61440.0,501945.00000000006
80 گیگابایت سه‌ماهه,613500 تومان,-,81920.0,668715.0
100 گیگابایت چهارماهه,755000 تومان,-,102400.0,822950.0000000001
